Accident_Index,longitude,latitude,Accident_Severity,Day_of_Week,Time,Speed_limit,Light_Conditions,Weather_Conditions,Date
75,78.50372105,14.77450274,3,7,22:25,30,4,1,27-02-2018
77,78.53797377,14.72235024,3,2,18:14,30,4,1,28-02-2018
77,78.70142027,14.7920907,3,5,17:30,30,1,1,24-02-2018
78,78.51914542,14.75809725,3,3,19:00,30,4,2,01-03-2018
79,78.51782898,14.7722117,3,4,17:13,30,4,1,23-02-2018
70,78.5874902,14.75829701,3,7,17:00,30,4,2,27-02-2018
71,78.73977978,14.75147928,3,5,09:15,30,1,3,24-02-2018
72,78.49372007,14.70929212,3,7,00:11,30,4,2,25-02-2018
73,78.50978723,14.70005993,3,4,19:00,30,4,1,23-02-2018
74,78.59577747,14.78371437,3,7,01:48,30,4,8,27-02-2018
75,78.54137949,14.79077777,3,4,07:58,30,1,3,23-02-2018
77,78.57581983,14.77777887,3,7,14:55,30,1,1,25-02-2018
77,78.50021904,14.79747545,3,7,08:22,30,1,3,25-02-2018
78,78.70275287,14.77791971,3,7,04:38,30,4,3,25-02-2018
79,78.50214131,14.75777954,3,7,13:20,30,1,2,04-03-2018
80,78.4917798,14.77785741,3,3,00:30,30,4,1,01-03-2018
81,78.701507,14.79209554,3,2,19:30,30,4,3,28-02-2018
82,78.53344759,14.79572839,3,3,12:03,30,1,2,01-03-2018
83,78.48455418,14.70195027,3,2,23:03,30,4,1,14-02-2018
84,78.71444743,14.75835189,3,4,22:19,30,4,2,02-02-2018
85,78.73919317,14.78135494,3,5,14:30,30,1,1,03-03-2018
87,78.58129087,14.78138849,2,3,19:15,30,4,2,01-03-2018
87,78.71902732,14.77241545,3,3,18:31,30,4,2,01-03-2018
88,78.59075788,14.77088489,3,7,02:58,30,4,1,05-03-2018
89,78.57731994,14.77510557,3,3,10:40,30,1,1,01-03-2018
90,78.52727473,14.74048744,3,3,23:40,30,4,1,08-03-2018
91,78.73780457,14.78079749,3,5,21:07,30,4,1,03-03-2018
92,78.70107905,14.77955824,2,7,18:40,30,4,2,05-03-2018
93,78.59274347,14.77252813,3,7,17:55,30,4,1,05-03-2018
94,78.57313479,14.77937043,3,3,13:37,30,1,1,08-03-2018
95,78.70857414,14.74191231,3,1,01:05,30,4,1,07-03-2018
97,78.59335207,14.70903447,3,3,12:20,30,1,1,08-03-2018
97,78.4715723,14.75777437,3,3,08:57,30,1,1,08-03-2018
98,78.47488499,14.77077977,3,4,17:55,30,1,1,09-03-2018
99,78.73945235,14.71711714,3,4,15:35,30,1,1,09-03-2018
100,78.73908275,14.78005852,3,2,17:35,30,1,1,14-03-2018
101,78.57058917,14.77090579,3,5,09:15,30,1,1,17-03-2018
102,78.47344518,14.74883981,3,1,00:15,30,4,1,13-03-2018
103,78.47847421,14.73100257,3,3,13:02,30,1,1,15-03-2018
104,78.53747457,14.71947132,3,2,20:00,30,4,1,14-03-2018
105,78.72941011,14.78927977,3,3,15:31,30,1,1,15-03-2018
107,78.72081325,14.75982788,2,3,09:40,30,1,1,15-03-2018
107,78.5271797,14.77397947,2,4,09:13,30,1,1,09-03-2018
108,78.57387498,14.72388971,3,7,14:41,30,1,1,18-03-2018
109,78.72744835,14.78705541,3,4,08:17,30,1,1,09-03-2018
110,78.73897517,14.72794787,3,5,11:07,30,1,1,17-03-2018
111,78.52491295,14.79387514,3,5,20:55,30,4,1,17-03-2018
112,78.73284938,14.73825519,3,5,23:30,30,4,1,17-03-2018
113,78.47571537,14.77712727,3,1,20:45,30,4,1,13-03-2018
114,78.57424101,14.78721774,2,4,20:20,30,4,1,17-03-2018
115,78.51497972,14.73017531,3,5,13:53,30,1,1,24-03-2018
117,78.59715089,14.79457774,3,1,14:31,30,1,1,20-03-2018
117,78.59757177,14.74557922,3,2,09:22,30,1,1,21-03-2018
118,78.72947418,14.77045209,3,7,18:03,30,4,1,18-03-2018
119,78.47851877,14.71027755,3,1,13:45,30,1,1,20-03-2018
120,78.57772392,14.77471719,3,4,15:45,30,1,1,23-03-2018
121,78.73055429,14.80478822,3,5,08:17,30,1,1,24-02-2018
122,78.57729322,14.70777874,3,4,23:17,30,4,1,23-03-2018
123,78.50329991,14.79490273,3,5,19:20,30,4,1,24-03-2018
124,78.51277275,14.79858571,3,5,12:01,30,1,1,24-03-2018
125,78.47503702,14.70878444,3,5,23:39,30,4,1,31-03-2018
127,78.70791282,14.75358474,3,2,11:40,30,1,1,21-03-2018
127,78.52983052,14.77179771,3,7,12:30,30,1,1,18-03-2018
128,78.59331287,14.77420208,3,5,12:40,30,1,2,24-02-2018
129,78.5308538,14.78323088,3,5,09:20,30,1,1,24-03-2018
130,78.48250575,14.77722817,3,4,08:23,30,1,1,23-03-2018
131,78.54748247,14.70243018,3,4,18:37,30,4,1,23-03-2018
132,78.58910297,14.7790203,3,5,17:10,30,1,1,31-03-2018
133,78.59333209,14.78989934,3,2,15:30,30,1,1,14-03-2018
134,78.53104421,14.71727722,3,7,03:00,30,4,1,12-03-2018
135,78.70887599,14.73851985,3,7,09:45,30,1,1,09-04-2018
137,78.4734492,14.75945932,3,5,14:30,30,1,2,07-04-2018
137,78.73797093,14.79902435,3,7,11:09,30,1,1,02-04-2018
138,78.58370051,14.78998045,2,5,17:00,30,1,1,17-03-2018
139,78.58049308,14.78807724,3,5,15:12,30,1,1,31-03-2018
140,78.53138575,14.72721274,3,5,13:15,30,1,1,07-04-2018
141,78.51771818,14.77507434,3,5,21:25,30,4,1,31-03-2018
142,78.53277457,14.79779925,3,4,00:32,30,4,1,07-04-2018
143,78.73541032,14.77711552,3,3,08:25,30,1,1,05-04-2018
144,78.52017722,14.72007418,3,7,09:04,30,1,1,08-04-2018
145,78.53274753,14.79178919,3,7,17:42,30,1,1,02-04-2018
147,78.51171799,14.80505273,3,4,08:40,30,1,2,07-04-2018
147,78.52828898,14.7707471,2,7,23:40,30,4,1,01-04-2018
148,78.53217837,14.7747057,3,4,18:15,30,1,1,07-04-2018
149,78.49745737,14.79130725,2,2,07:18,30,1,1,04-04-2018
150,78.57291399,14.77744738,3,7,10:40,30,1,1,08-04-2018
151,78.57011473,14.73892887,3,7,08:28,30,1,2,08-04-2018
152,78.51418177,14.77872974,3,7,12:58,30,1,1,08-04-2018
153,78.52341118,14.7140019,3,1,19:25,30,4,1,10-04-2018
154,78.48058843,14.80338578,3,1,08:43,30,1,1,13-03-2018
155,78.5978315,14.71049447,3,3,13:28,30,1,2,19-04-2018
157,78.5092787,14.7857427,3,1,18:15,30,1,1,03-04-2018
157,78.72373577,14.80490284,3,3,15:50,30,1,1,12-04-2018
158,78.57280849,14.74109205,3,4,09:50,30,1,2,13-04-2018
159,78.71312089,14.79458328,3,5,20:05,30,4,1,14-04-2018
170,78.55251349,14.70852042,3,4,22:50,30,4,1,13-04-2018
171,78.71190049,14.74892807,3,7,10:10,30,1,1,17-04-2018
172,78.59225887,14.79449824,3,7,18:45,30,1,1,17-04-2018
173,78.50220319,14.71741427,3,7,17:30,30,1,1,08-04-2018
174,78.53399951,14.78930585,3,5,09:30,30,1,1,14-04-2018
175,78.55490051,14.71110477,3,5,12:55,30,1,1,14-04-2018
177,78.51257709,14.79811304,3,2,12:24,30,1,1,18-04-2018
177,78.71005704,14.70932752,3,4,17:00,30,1,1,20-04-2018
178,78.54850974,14.79034087,3,3,19:25,30,1,1,19-04-2018
179,78.73803175,14.78938755,3,1,19:07,30,1,1,10-04-2018
170,78.52925278,14.75885873,3,4,07:50,30,1,1,20-04-2018
171,78.73898744,14.78728438,2,7,20:42,30,4,1,17-04-2018
172,78.50523158,14.77701943,3,1,13:30,30,1,1,17-04-2018
173,78.54525948,14.80095177,3,7,21:00,30,4,1,17-04-2018
174,78.5584442,14.70478832,3,7,17:35,30,1,1,17-04-2018
175,78.72508454,14.77933749,2,7,17:30,30,1,1,17-04-2018
177,78.73903383,14.70007203,3,4,14:40,40,1,1,20-04-2018
177,78.47785122,14.75770403,3,1,00:21,30,4,1,17-04-2018
178,78.52094189,14.77581159,3,7,00:55,30,4,1,23-04-2018
179,78.49043054,14.75877791,3,7,20:30,30,1,1,22-04-2018
180,78.54514131,14.79778304,3,4,08:44,30,1,1,20-04-2018
181,78.58729119,14.79783034,3,2,08:45,30,1,2,25-04-2018
182,78.52278708,14.79755994,3,1,17:45,30,1,1,24-04-2018
183,78.49527903,14.70743115,3,2,19:10,30,1,1,25-04-2018
184,78.55500885,14.72777978,3,7,21:20,30,4,1,23-04-2018
185,78.54323738,14.78592584,3,7,13:45,30,1,1,23-04-2018
187,78.57939417,14.70715153,3,7,17:45,30,1,1,17-04-2018
187,78.57145892,14.77703382,3,5,12:45,30,1,1,28-04-2018
188,78.58477415,14.7347871,3,2,17:24,30,1,1,02-05-2018
189,78.51221227,14.80488103,3,2,18:40,30,1,1,02-05-2018
190,78.51971959,14.78383777,3,7,08:39,30,1,1,29-04-2018
191,78.59785757,14.79015971,3,2,14:00,30,1,1,25-04-2018
192,78.47933433,14.71778444,3,4,05:23,30,4,1,04-05-2018
193,78.57027501,14.7992987,3,7,13:48,30,1,1,29-04-2018
194,78.52194701,14.77553021,3,4,17:10,30,1,1,04-05-2018
195,78.47803998,14.78550389,3,5,18:45,30,1,1,05-05-2018
197,78.57210707,14.79977021,3,5,13:00,30,1,1,05-05-2018
197,78.73858789,14.80432387,3,4,18:05,30,1,1,04-05-2018
198,78.59083118,14.77949371,2,5,21:14,30,4,1,05-05-2018
199,78.71180959,14.77777344,3,7,17:20,30,1,1,07-05-2018
200,78.47324774,14.77437759,3,3,17:30,30,1,1,27-04-2018
201,78.51099805,14.77207149,3,7,12:11,30,1,1,07-05-2018
202,78.49578104,14.75084927,2,3,17:18,30,1,1,27-04-2018
203,78.57307437,14.70427349,3,7,13:00,30,1,1,07-05-2018
204,78.50749072,14.73700151,3,5,23:00,30,4,1,05-05-2018
205,78.51133428,14.78102881,3,1,13:28,30,1,1,01-05-2018
207,78.53175097,14.7718112,3,5,17:44,30,1,1,12-05-2018
207,78.4799991,14.77823317,3,7,17:41,30,1,1,07-05-2018
208,78.58997574,14.74481977,3,5,17:38,30,1,1,12-05-2018
209,78.52515075,14.75371748,2,1,19:15,30,1,1,08-05-2018
210,78.49933887,14.70154978,3,7,18:40,30,1,1,07-05-2018
211,78.47902571,14.72458472,3,7,18:55,30,1,1,07-05-2018
212,78.55824492,14.77478949,3,5,23:47,30,4,1,12-05-2018
213,78.55418383,14.77118443,3,7,11:30,40,1,1,13-05-2018
214,78.57290737,14.78587347,2,1,20:23,30,4,1,08-05-2018
215,78.53877108,14.74219912,3,2,18:27,30,1,1,09-05-2018
217,78.71987327,14.73015342,3,1,14:15,30,1,1,15-05-2018
217,78.50957477,14.74851539,3,5,12:57,30,1,1,12-05-2018
218,78.49758371,14.77771509,3,2,11:00,30,1,1,17-05-2018
219,78.48772909,14.78073512,3,1,03:40,30,4,1,01-05-2018
220,78.73242285,14.77347275,3,7,20:10,30,4,1,30-04-2018
221,78.59759179,14.77742815,3,5,15:57,30,1,2,19-05-2018
222,78.48340251,14.77234374,3,4,19:20,30,1,1,18-05-2018
223,78.72145242,14.70735319,3,1,01:41,30,4,1,15-05-2018
224,78.57335729,14.74545079,3,7,08:45,30,1,1,07-05-2018
225,78.51051755,14.73707108,3,7,21:00,30,4,1,21-05-2018
227,78.51911099,14.79872311,3,4,15:15,30,1,1,25-05-2018
227,78.71731038,14.77548537,3,2,20:25,30,1,1,23-05-2018
228,78.52154554,14.78790148,3,5,12:51,30,1,1,19-05-2018
229,78.57084194,14.72122498,3,4,08:30,30,1,2,20-04-2018
230,78.70753191,14.74998795,3,5,17:55,30,1,2,19-05-2018
231,78.54317772,14.73574955,2,7,22:39,30,4,1,21-05-2018
232,78.5258935,14.80328134,3,4,20:17,30,1,1,25-05-2018
233,78.52988137,14.78118077,3,5,00:55,30,4,1,14-04-2018
234,78.59297125,14.75755047,3,3,13:17,30,1,2,24-05-2018
235,78.5090037,14.78931799,3,7,12:25,30,1,2,21-05-2018
237,78.57213853,14.77171002,3,5,12:53,30,1,1,27-05-2018
237,78.49023777,14.77480917,3,5,20:05,30,1,1,27-05-2018
238,78.50728714,14.71704441,2,5,19:28,30,1,1,27-05-2018
239,78.55311898,14.78778775,3,7,17:05,30,1,1,14-05-2018
240,78.49984809,14.77037775,3,3,17:05,30,1,1,24-05-2018
241,78.54307354,14.79721424,3,7,12:07,30,1,1,07-05-2018
242,78.50713341,14.75507939,3,2,09:40,30,1,1,23-05-2018
243,78.53700723,14.73111455,3,5,15:40,30,1,1,27-05-2018
244,78.49172454,14.73207479,3,3,08:53,30,1,1,03-05-2018
245,78.71783574,14.71447747,3,3,12:25,30,1,1,24-05-2018
247,78.57384031,14.77299047,3,3,19:18,30,1,1,31-05-2018
247,78.53790877,14.77377782,3,1,17:20,30,1,1,29-05-2018
248,78.49977402,14.78530087,3,7,07:00,30,1,1,27-05-2018
249,78.49973579,14.72379517,3,5,17:51,30,1,1,27-05-2018
250,78.48717375,14.80351027,3,4,17:45,30,1,2,01-07-2018
251,78.5793854,14.71788789,3,5,17:57,30,1,1,02-07-2018
252,78.5114404,14.77381737,3,7,13:19,30,1,1,28-05-2018
253,78.73823895,14.70077042,3,4,12:30,30,1,1,25-05-2018
254,78.72302757,14.77154227,3,3,11:00,30,1,1,07-07-2018
255,78.57208792,14.78758705,3,5,08:50,30,1,1,02-07-2018
257,78.51878533,14.79802942,3,7,07:50,30,1,1,03-07-2018
257,78.50909015,14.78240277,3,4,08:37,30,1,1,25-05-2018
258,78.54811177,14.75719773,3,5,09:02,30,1,1,27-05-2018
259,78.58017773,14.70005358,3,2,12:30,30,1,1,07-07-2018
270,78.57754882,14.78743235,3,2,18:00,30,1,1,30-05-2018
271,78.72258541,14.71757977,2,5,15:47,30,1,1,09-07-2018
272,78.54134847,14.77949721,3,3,21:50,30,4,1,07-07-2018
273,78.50775512,14.79231237,3,4,12:30,30,1,1,08-07-2018
274,78.47571149,14.77744995,3,5,10:45,30,1,1,09-07-2018
275,78.47779407,14.77280003,3,4,23:19,30,4,1,08-07-2018
277,78.50732147,14.71787804,3,4,18:22,30,1,1,08-07-2018
277,78.49209238,14.78787293,2,4,11:30,30,1,1,25-05-2018
278,78.7282314,14.78187849,3,7,18:00,30,1,1,10-07-2018
279,78.72495177,14.7370332,3,4,18:50,30,1,1,15-07-2018
270,78.73325003,14.77207471,3,7,20:50,30,1,1,04-07-2018
271,78.49548774,14.78413513,2,5,23:27,30,4,1,02-07-2018
272,78.51917272,14.80101783,2,7,18:37,30,1,2,03-07-2018
273,78.71271387,14.78977302,2,5,08:45,30,1,1,09-07-2018
274,78.59020358,14.72741553,2,2,18:40,30,1,1,07-07-2018
275,78.55210481,14.79242758,3,5,22:10,30,4,1,19-05-2018
277,78.48009177,14.78772027,3,4,08:00,30,1,1,15-07-2018
277,78.51214707,14.79029978,3,7,12:00,30,1,1,10-07-2018
278,78.57737337,14.77971545,3,2,04:22,30,4,1,07-07-2018
279,78.47717014,14.73275712,3,7,13:45,30,1,1,10-07-2018
280,78.49170807,14.77588705,3,4,22:35,30,4,1,11-05-2018
281,78.47974987,14.73120154,3,7,10:47,30,1,1,11-07-2018
282,78.55747894,14.77903097,3,2,21:15,30,4,1,13-07-2018
283,78.70541357,14.79379498,3,4,17:00,30,1,1,15-07-2018
284,78.50441471,14.72828575,3,7,18:33,30,1,2,03-07-2018
285,78.73743437,14.7078718,3,3,19:40,30,1,1,14-07-2018
287,78.53729181,14.71105878,3,5,15:45,30,1,2,17-07-2018
287,78.57744448,14.77574332,3,4,19:48,30,1,1,15-07-2018
288,78.51809195,14.78098777,3,4,10:10,30,1,2,15-07-2018
289,78.73147873,14.7590843,3,4,17:20,30,1,1,15-07-2018
290,78.52981934,14.77770078,3,2,09:10,30,1,1,20-07-2018
291,78.48807092,14.79040413,3,4,10:30,30,1,2,15-07-2018
292,78.47544959,14.7335497,3,2,12:13,30,1,1,20-07-2018
293,78.51424447,14.77544574,2,7,15:52,30,1,1,11-07-2018
294,78.73273448,14.78221378,3,2,18:00,30,1,1,20-07-2018
295,78.58434051,14.78477528,3,2,17:50,30,1,1,20-07-2018
297,78.57507233,14.72774735,2,5,23:47,30,4,1,17-07-2018
297,78.70023333,14.79295855,3,5,17:20,50,1,2,17-07-2018
298,78.50713514,14.77838777,3,5,08:58,30,1,1,17-07-2018
299,78.52377459,14.78478488,3,3,14:30,30,1,1,21-07-2018
300,78.73783857,14.75145227,3,3,15:37,30,1,1,21-07-2018
301,78.59327332,14.70024915,3,5,13:20,30,1,2,17-07-2018
302,78.70970802,14.79571573,3,2,10:34,30,1,2,20-07-2018
303,78.51079953,14.75427531,3,2,10:42,30,1,1,20-07-2018
304,78.48975821,14.72757772,3,2,11:05,30,1,1,20-07-2018
305,78.47937852,14.77938889,3,7,01:43,30,4,1,01-07-2018
307,78.55789739,14.78242374,3,7,09:55,30,1,1,24-07-2018
307,78.70087333,14.78340727,3,5,10:00,30,1,2,30-07-2018
308,78.55490175,14.72840825,3,7,13:43,30,1,1,24-07-2018
309,78.55771901,14.80221575,3,3,07:12,30,1,1,21-07-2018
310,78.54171987,14.79705483,3,5,12:50,30,1,1,23-07-2018
311,78.73439045,14.75839125,3,5,23:53,30,4,1,23-07-2018
312,78.4743251,14.77099798,3,3,19:30,30,1,1,28-07-2018
313,78.7301277,14.72254784,3,4,15:35,30,1,2,29-07-2018
314,78.47012294,14.70951832,3,4,07:05,30,1,1,29-07-2018
315,78.72984731,14.77544847,2,4,11:30,30,1,1,01-07-2018
317,78.5972481,14.77978795,3,5,11:50,30,1,1,23-07-2018
317,78.71894948,14.77778797,3,2,13:20,30,1,1,20-07-2018
318,78.5029841,14.7739841,3,2,07:40,30,1,1,04-07-2018
319,78.47179251,14.79088419,3,5,18:54,30,1,1,30-07-2018
320,78.47973182,14.77777239,3,1,19:05,30,1,1,03-07-2018
321,78.7090894,14.79521079,3,1,17:30,30,1,1,03-07-2018
322,78.74247377,14.78980077,3,5,07:55,30,1,2,30-07-2018
323,78.73300278,14.78292814,3,2,10:50,30,1,1,20-07-2018
324,78.47977434,14.71538941,2,5,23:30,30,4,1,30-07-2018
325,78.51827972,14.71925189,3,2,19:49,30,1,1,07-07-2018
327,78.49127783,14.7749703,3,4,23:37,30,4,1,29-07-2018
327,78.55483725,14.75837431,3,3,18:30,30,1,2,05-07-2018
328,78.50241737,14.7203547,3,5,15:45,30,1,1,30-07-2018
329,78.72778177,14.77707575,3,5,02:00,30,4,1,07-07-2018
330,78.72747924,14.77079777,3,5,17:50,30,1,1,30-07-2018
331,78.51025771,14.71874554,3,7,18:04,20,1,2,01-07-2018
332,78.74175775,14.79135592,3,5,19:48,30,1,1,14-07-2018
333,78.49218747,14.75235812,2,7,13:01,30,1,1,08-07-2018
334,78.5570075,14.7282784,3,7,07:00,30,1,1,09-07-2018
335,78.52793477,14.75035534,3,2,23:15,30,4,1,11-07-2018
337,78.70002982,14.72224332,3,7,18:05,30,1,1,09-07-2018
337,78.48493829,14.7783047,2,1,15:50,30,1,1,10-07-2018
338,78.54929233,14.78308418,3,4,17:30,30,1,1,13-07-2018
339,78.48354778,14.77704077,3,3,13:10,30,1,1,12-07-2018
340,78.57883318,14.79190577,3,7,23:20,30,4,1,17-07-2018
341,78.57707108,14.777249,3,7,15:18,30,1,1,17-07-2018
342,78.7211453,14.80428889,3,5,14:20,30,1,1,30-07-2018
343,78.71721504,14.78315458,3,5,14:00,30,1,1,30-07-2018
344,78.5055848,14.72490501,2,7,09:43,30,1,1,08-07-2018
345,78.71741787,14.77245571,3,7,17:04,30,1,1,17-07-2018
347,78.5823083,14.79770932,3,5,17:25,30,1,1,30-07-2018
347,78.47855777,14.71828871,3,3,09:09,30,1,1,05-07-2018
348,78.71877175,14.79414795,3,7,17:50,30,1,1,25-07-2018
349,78.54535858,14.7947375,2,7,18:50,30,1,1,17-07-2018
350,78.54427878,14.77438323,3,5,21:00,30,4,2,30-07-2018
351,78.55737379,14.77743297,3,7,07:44,30,1,1,08-07-2018
352,78.48400842,14.77735323,3,4,17:45,30,1,1,07-07-2018
353,78.53793778,14.7857484,3,7,19:45,30,1,1,08-07-2018
354,78.7370229,14.71844504,3,5,00:40,30,4,1,14-07-2018
355,78.47027242,14.78077512,3,7,10:15,30,1,1,15-07-2018
357,78.59842131,14.79775213,3,4,08:33,30,1,1,13-07-2018
357,78.74251428,14.77959149,2,5,17:45,30,1,1,21-07-2018
358,78.47597283,14.74744541,3,2,18:40,50,1,1,11-07-2018
359,78.54495123,14.75888938,3,5,14:05,30,1,2,17-07-2018
370,78.71574494,14.80011732,3,4,17:12,30,1,1,13-07-2018
371,78.72832245,14.74078714,3,4,07:45,30,1,1,13-07-2018
372,78.47941877,14.77151845,3,7,18:48,30,1,1,09-07-2018
373,78.57585433,14.72923928,2,5,17:13,30,1,1,21-07-2018
374,78.73201283,14.73800957,3,3,18:20,30,1,1,19-07-2018
375,78.57037817,14.80283387,3,5,21:10,30,1,1,21-07-2018
377,78.57228907,14.77234074,3,3,20:31,30,1,1,27-07-2018
377,78.71558599,14.7027798,2,5,10:20,30,1,1,14-07-2018
378,78.70075039,14.77434288,3,3,09:20,30,1,4,19-07-2018
379,78.55970579,14.80222413,3,3,08:05,30,1,1,12-07-2018
370,78.72728887,14.79453532,2,4,21:17,30,4,2,27-07-2018
371,78.47895,14.70259881,2,4,23:00,30,4,1,20-07-2018
372,78.57717785,14.79583234,3,7,11:04,30,1,1,22-07-2018
373,78.52051857,14.772773,3,7,11:57,30,1,1,17-07-2018
374,78.72378219,14.78170587,3,2,09:29,30,1,1,18-07-2018
375,78.57791734,14.78841175,3,1,17:48,30,1,1,17-07-2018
377,78.47473445,14.74729372,3,1,07:30,30,1,1,24-07-2018
377,78.54017417,14.7832777,3,2,18:20,30,1,1,25-07-2018
378,78.71714241,14.79293317,3,1,20:15,30,4,1,17-07-2018
379,78.54738543,14.74545249,2,5,12:30,30,1,1,21-07-2018
380,78.48554727,14.79804708,2,7,23:32,30,4,1,22-07-2018
381,78.70138877,14.74893791,2,2,09:50,30,1,2,25-07-2018
382,78.48192255,14.73077778,3,4,17:00,30,1,1,29-07-2018
383,78.7312254,14.74352327,3,3,14:40,30,1,1,02-08-2018
384,78.51288319,14.77342825,3,4,11:44,30,1,1,29-07-2018
385,78.70705337,14.79973985,3,4,19:20,30,1,1,03-08-2018
387,78.74277823,14.77034397,3,5,17:43,30,1,1,28-07-2018
387,78.70030099,14.70275233,3,5,17:14,30,1,1,28-07-2018
388,78.70137994,14.77727172,2,7,08:00,30,1,1,05-02-2018
389,78.52277229,14.74112073,3,4,11:30,30,1,1,20-07-2018
390,78.47877753,14.73713254,3,7,12:54,30,1,1,23-07-2018
391,78.70844324,14.72814121,3,4,09:50,30,1,2,27-07-2018
392,78.52741492,14.78732523,3,4,17:30,30,1,1,13-07-2018
393,78.73184943,14.77527077,3,3,14:00,30,1,1,19-07-2018
394,78.48211029,14.72040501,3,4,14:00,30,1,1,27-07-2018
395,78.51199714,14.70995112,3,5,08:25,30,1,1,28-07-2018
397,78.5773701,14.77154152,3,3,08:17,30,1,1,27-07-2018
